iter	Passed	Remaining
0	142	142601
1	146	73220
2	150	49949
3	154	38361
4	159	31761
5	163	27146
6	167	23754
7	170	21185
8	174	19206
9	178	17633
10	181	16347
11	185	15243
12	188	14328
13	191	13455
14	193	12688
15	195	12026
16	197	11414
17	199	10882
18	201	10410
19	203	9952
20	204	9544
21	206	9163
22	207	8822
23	209	8508
24	210	8203
25	211	7919
26	212	7659
27	213	7419
28	215	7204
29	216	7003
30	217	6808
31	218	6621
32	219	6439
33	220	6270
34	221	6108
35	222	5954
36	223	5810
37	224	5674
38	225	5544
39	225	5421
40	226	5302
41	227	5188
42	228	5084
43	229	4986
44	230	4889
45	231	4800
46	232	4709
47	233	4625
48	234	4542
49	234	4462
50	235	4384
51	236	4309
52	237	4237
53	237	4167
54	238	4100
55	239	4037
56	240	3976
57	241	3919
58	242	3863
59	243	3809
60	244	3758
61	245	3710
62	246	3660
63	247	3613
64	247	3565
65	248	3518
66	249	3472
67	250	3427
68	250	3383
69	251	3342
70	252	3301
71	253	3261
72	253	3223
73	254	3186
74	255	3149
75	256	3115
76	257	3081
77	257	3049
78	258	3017
79	259	2987
80	260	2958
81	261	2928
82	261	2894
83	262	2865
84	263	2837
85	264	2811
86	265	2785
87	266	2761
88	267	2737
89	268	2712
90	269	2689
91	270	2667
92	271	2646
93	272	2627
94	273	2607
95	274	2586
96	275	2565
97	276	2543
98	277	2522
99	277	2501
100	278	2481
101	279	2461
102	280	2442
103	281	2423
104	282	2404
105	282	2385
106	283	2366
107	284	2348
108	285	2330
109	285	2313
110	286	2295
111	287	2280
112	288	2263
113	289	2248
114	290	2234
115	291	2218
116	291	2202
117	292	2188
118	293	2174
119	294	2160
120	295	2146
121	296	2131
122	297	2118
123	297	2105
124	298	2092
125	299	2079
126	300	2065
127	301	2052
128	302	2040
129	303	2029
130	304	2018
131	305	2007
132	306	1995
133	306	1983
134	307	1972
135	308	1961
136	309	1950
137	310	1939
138	311	1928
139	312	1918
140	313	1907
141	313	1895
142	314	1885
143	315	1875
144	316	1865
145	317	1856
146	318	1847
147	319	1838
148	320	1829
149	321	1820
150	322	1810
151	322	1801
152	323	1791
153	324	1782
154	325	1773
155	326	1765
156	327	1756
157	327	1747
158	328	1739
159	329	1731
160	330	1722
161	331	1714
162	332	1706
163	333	1700
164	334	1692
165	335	1685
166	336	1678
167	337	1670
168	338	1662
169	339	1655
170	339	1648
171	340	1641
172	341	1634
173	342	1627
174	343	1621
175	344	1614
176	345	1607
177	346	1601
178	347	1595
179	349	1590
180	350	1584
181	351	1578
182	352	1571
183	352	1565
184	353	1558
185	354	1552
186	355	1545
187	356	1539
188	357	1533
189	358	1527
190	359	1520
191	359	1514
192	360	1508
193	361	1502
194	362	1496
195	363	1491
196	364	1486
197	365	1481
198	366	1475
199	367	1469
200	368	1463
201	369	1458
202	370	1453
203	370	1447
204	371	1442
205	372	1436
206	373	1431
207	374	1425
208	375	1420
209	376	1414
210	376	1409
211	378	1405
212	379	1402
213	380	1399
214	382	1395
215	383	1391
216	384	1387
